Region,Country,Industry,Edition,Category,Subcategory,Lowest Level,Hierarchy Level,Data Type,Unit,Current/Constant,Currency Conversion,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,Growth% 2010-2011,Growth% 2011-2012,Growth% 2012-2013,Growth% 2013-2014,Growth% 2014-2015,Growth% 2015-2016,Growth% 2016-2017,Growth% 2017-2018,Growth% 2018-2019,Growth% 2019-2020,Growth% 2020-2021,Growth% 2021-2022,Growth% 2022-2023,Growth% 2023-2024,Growth% 2024-2025,Growth% 2025-2026,Growth% 2026-2027,Growth% 2027-2028,Growth% 2028-2029,Historic Period Growth Years,Historic PGrowth%,Historic CAGR%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia Pacific,China,Beauty and Personal Care,2025,Bath and Shower, Bath and Shower,no,1,Retail Value RSP,USD million,"Historic Constant 2024 Prices, Forecast Constant 2024 Prices","Historic Fixed 2024 Exchange Rates, Forecast Fixed 2024 Exchange Rates","2,796.0","2,844.7","2,946.4","3,056.3","3,161.8","3,249.4","3,318.8","3,396.4","3,434.8","3,444.5","3,620.0","3,583.1","3,479.4","3,316.9","3,244.3","3,222.4","3,204.5","3,191.3","3,184.0","3,179.0",1.7,3.6,3.7,3.5,2.8,2.1,2.3,1.1,0.3,5.1,-1.0,-2.9,-4.7,-2.2,-0.7,-0.6,-0.4,-0.2,-0.2,2019-2024,-5.8,-1.2
Asia Pacific,China,Beauty and Personal Care,2025,Skin Care, Skin Care,no,1,Retail Value RSP,USD million,"Historic Constant 2024 Prices, Forecast Constant 2024 Prices","Historic Fixed 2024 Exchange Rates, Forecast Fixed 2024 Exchange Rates","18,541.3","20,089.9","21,611.7","23,071.2","24,539.0","25,785.2","26,672.7","29,081.7","32,267.0","36,041.3","38,808.4","41,774.5","38,561.3","39,251.6","37,686.0","38,228.7","38,620.3","38,869.8","39,000.0","38,996.9",8.4,7.6,6.8,6.4,5.1,3.4,9.0,11.0,11.7,7.7,7.6,-7.7,1.8,-4.0,1.4,1.0,0.6,0.3,0.0,2019-2024,4.6,0.9
Asia Pacific,"Hong Kong, China",Beauty and Personal Care,2025,Bath and Shower, Bath and Shower,no,1,Retail Value RSP,USD million,"Historic Constant 2024 Prices, Forecast Constant 2024 Prices","Historic Fixed 2024 Exchange Rates, Forecast Fixed 2024 Exchange Rates",176.0,176.6,176.6,178.0,178.8,182.2,185.0,189.5,193.1,191.7,203.3,198.1,202.9,219.0,235.9,251.1,265.1,277.7,288.9,298.9,0.4,0.0,0.8,0.5,1.9,1.6,2.4,1.9,-0.7,6.1,-2.5,2.4,8.0,7.7,6.4,5.6,4.7,4.0,3.5,2019-2024,23.1,4.2
Asia Pacific,"Hong Kong, China",Beauty and Personal Care,2025,Skin Care, Skin Care,no,1,Retail Value RSP,USD million,"Historic Constant 2024 Prices, Forecast Constant 2024 Prices","Historic Fixed 2024 Exchange Rates, Forecast Fixed 2024 Exchange Rates","2,006.3","2,090.2","2,167.4","2,243.6","2,352.0","2,613.4","2,767.7","3,113.0","3,628.3","3,337.8","2,264.4","2,432.8","2,405.1","2,590.4","2,771.2","2,908.7","3,025.9","3,118.9","3,193.9","3,252.6",4.2,3.7,3.5,4.8,11.1,5.9,12.5,16.6,-8.0,-32.2,7.4,-1.1,7.7,7.0,5.0,4.0,3.1,2.4,1.8,2019-2024,-17.0,-3.7
Asia Pacific,India,Beauty and Personal Care,2025,Bath and Shower, Bath and Shower,no,1,Retail Value RSP,USD million,"Historic Constant 2024 Prices, Forecast Constant 2024 Prices","Historic Fixed 2024 Exchange Rates, Forecast Fixed 2024 Exchange Rates","2,962.7","3,069.8","3,241.1","3,311.3","3,521.5","3,639.6","3,690.6","3,795.7","3,895.7","3,943.0","3,964.8","4,033.2","4,064.4","4,105.4","4,085.5","4,073.4","4,057.7","4,031.1","3,999.2","3,956.6",3.6,5.6,2.2,6.3,3.4,1.4,2.8,2.6,1.2,0.6,1.7,0.8,1.0,-0.5,-0.3,-0.4,-0.7,-0.8,-1.1,2019-2024,3.6,0.7
Asia Pacific,India,Beauty and Personal Care,2025,Skin Care, Skin Care,no,1,Retail Value RSP,USD million,"Historic Constant 2024 Prices, Forecast Constant 2024 Prices","Historic Fixed 2024 Exchange Rates, Forecast Fixed 2024 Exchange Rates","1,225.2","1,403.0","1,543.9","1,622.6","1,758.8","1,892.3","1,992.0","2,123.9","2,250.8","2,365.9","2,290.5","2,475.2","2,624.1","2,827.8","3,080.7","3,356.3","3,640.0","3,941.4","4,248.8","4,560.8",14.5,10.0,5.1,8.4,7.6,5.3,6.6,6.0,5.1,-3.2,8.1,6.0,7.8,8.9,8.9,8.5,8.3,7.8,7.3,2019-2024,30.2,5.4
Asia Pacific,Indonesia,Beauty and Personal Care,2025,Bath and Shower, Bath and Shower,no,1,Retail Value RSP,USD million,"Historic Constant 2024 Prices, Forecast Constant 2024 Prices","Historic Fixed 2024 Exchange Rates, Forecast Fixed 2024 Exchange Rates",564.5,582.6,595.1,613.6,638.0,682.1,719.3,731.5,771.3,793.7,845.5,813.0,820.0,806.2,801.5,824.0,853.0,879.5,903.4,924.5,3.2,2.2,3.1,4.0,6.9,5.4,1.7,5.4,2.9,6.5,-3.8,0.9,-1.7,-0.6,2.8,3.5,3.1,2.7,2.3,2019-2024,1.0,0.2
Asia Pacific,Indonesia,Beauty and Personal Care,2025,Skin Care, Skin Care,no,1,Retail Value RSP,USD million,"Historic Constant 2024 Prices, Forecast Constant 2024 Prices","Historic Fixed 2024 Exchange Rates, Forecast Fixed 2024 Exchange Rates",693.0,838.9,979.8,"1,116.6","1,250.5","1,358.5","1,478.5","1,576.0","1,704.5","1,867.1","1,989.2","2,147.2","2,405.0","2,722.6","3,142.2","3,475.6","3,802.9","4,121.5","4,430.3","4,728.4",21.0,16.8,14.0,12.0,8.6,8.8,6.6,8.2,9.5,6.5,7.9,12.0,13.2,15.4,10.6,9.4,8.4,7.5,6.7,2019-2024,68.3,11.0
Asia Pacific,Japan,Beauty and Personal Care,2025,Bath and Shower, Bath and Shower,no,1,Retail Value RSP,USD million,"Historic Constant 2024 Prices, Forecast Constant 2024 Prices","Historic Fixed 2024 Exchange Rates, Forecast Fixed 2024 Exchange Rates","1,610.2","1,599.2","1,595.6","1,630.1","1,596.6","1,598.4","1,635.4","1,635.6","1,656.2","1,706.9","2,338.7","2,039.0","1,977.9","1,824.4","1,839.3","1,856.3","1,871.7","1,885.6","1,897.9","1,909.1",-0.7,-0.2,2.2,-2.1,0.1,2.3,0.0,1.3,3.1,37.0,-12.8,-3.0,-7.8,0.8,0.9,0.8,0.7,0.7,0.6,2019-2024,7.8,1.5
