,Unnamed: 0,filename,sheet_name,file_year,project_name,gate_number,sku_name,sku_name.1,Market,list_price_AUD,forecast_volume_y1,forecast_volume_y2,forecast_volume_y3,forecast_net_sales_y1,forecast_net_sales_y2,forecast_net_sales_y3,launchyr_coop_listingfees_y1,launchyr_coop_listingfees_y2,launchyr_coop_listingfees_y3,one_time_costs_y1,one_time_costs_y2,one_time_costs_y3,matched_SKU_ID
0,0,G4 P&L - Rusty - AU NZ - CANZ - Exp (M).xlsm,Project Summary,2024,Rusty,G4,Betadine Ready to Use Gargle 200mL_Australia,Betadine Ready to Use Gargle 200mL,Australia,14.93,37468.0,118858.0,116334.0,345707.49432,1096671.86292,1073383.5711599998,0.0,,,7200.0,,,105905
1,1,G4 P&L - Rusty - AU NZ - CANZ - Exp (M).xlsm,Project Summary,2024,Rusty,G4,Betadine Ready to Use Gargle 60mL_Australia,Betadine Ready to Use Gargle 60mL,Australia,7.16,0.0,70079.0,93281.0,0.0,291525.83684,388045.22876,0.0,,,4800.0,,,
2,2,G4 P&L - Rusty - AU NZ - CANZ - Exp (M).xlsm,Project Summary,2024,Rusty,G4,Betadine Antiseptic Solution 500mL_Australia,Betadine Antiseptic Solution 500mL,Australia,20.74,14055.0,21647.0,22054.0,189183.9543,291374.24821999995,296852.57404,0.0,,,0.0,,,105904
3,3,G4 P&L - Rusty - AU NZ - CANZ - Exp (M).xlsm,Project Summary,2024,Rusty,G4,Betadine Antiseptic First Aid Cream 45g_Australia,Betadine Antiseptic First Aid Cream 45g,Australia,12.83,27409.0,47678.0,48635.0,243698.62671000004,423914.15682,432423.02565,0.0,,,8600.0,,,105907
4,4,G4 P&L - Rusty - AU NZ - CANZ - Exp (M).xlsm,Project Summary,2024,Rusty,G4,Betadine Ready to Use Gargle 200mL_NZ,Betadine Ready to Use Gargle 200mL,NZ,13.425925925925926,0.0,14000.0,16800.0,0.0,146611.1111111111,175933.33333333334,0.0,,,0.0,,,
5,5,G4 P&L - Rusty - AU NZ - CANZ - Exp (M).xlsm,Project Summary,2024,Rusty,G4,Betadine Ready to Use Gargle 60mL_NZ,Betadine Ready to Use Gargle 60mL,NZ,5.833333333333333,0.0,6000.0,7200.0,0.0,27300.0,32760.0,0.0,,,0.0,,,
6,6,G4 P&L - Rusty - AU NZ - CANZ - Exp (M).xlsm,Project Summary,2024,Rusty,G4,Betadine Antiseptic First Aid Cream 45g_NZ,Betadine Antiseptic First Aid Cream 45g,NZ,7.87037037037037,0.0,0.0,13000.0,0.0,0.0,79805.55555555556,0.0,,,0.0,,,
7,7,G4 P&L - Rusty - AU NZ - CANZ - Exp (M).xlsm,Project Summary,2024,Rusty,G4,Betadine Antiseptic First Aid Cream 20g_NZ,Betadine Antiseptic First Aid Cream 20g,NZ,4.916666666666666,0.0,0.0,17000.0,0.0,0.0,65195.0,0.0,,,0.0,,,
8,8,G2 P&L - Sneezy - AU NZ - CANZ - Inno (I-L).xlsm,Project Summary,2024,Sneezy,G2,DZ Sinus Pain Relief + Decongestant (PSE + Ibu) tabs 24s_Australia,DZ Sinus Pain Relief + Decongestant (PSE + Ibu) tabs 24s,Australia,8.64,34400.0,64800.0,97200.0,178329.59999999998,335923.19999999995,503884.8,0.0,,,0.0,,,
9,9,G2 P&L - Sneezy - AU NZ - CANZ - Inno (I-L).xlsm,Project Summary,2024,Sneezy,G2,"DZ Forte C&F D&N (Dex, PSE, Para + N: Doxy) Soft gels 24s_Australia","DZ Forte C&F D&N (Dex, PSE, Para + N: Doxy) Soft gels 24s",Australia,10.72,0.0,27000.0,40500.0,0.0,231552.0,347328.0,0.0,,,0.0,,,
10,10,G2 P&L - Sneezy - AU NZ - CANZ - Inno (I-L).xlsm,Project Summary,2024,Sneezy,G2,DZ Sinus Pain Relief + Decongestant (PSE + Ibu) tabs 24s_NZ,DZ Sinus Pain Relief + Decongestant (PSE + Ibu) tabs 24s,NZ,8.64,10320.0,19440.0,23328.0,62415.36,117573.12,141087.744,0.0,,,0.0,,,
11,11,G2 P&L - Sneezy - AU NZ - CANZ - Inno (I-L).xlsm,Project Summary,2024,Sneezy,G2,"DZ Forte C&F D&N (Dex, PSE, Para + N: Doxy) Soft gels 24s_NZ","DZ Forte C&F D&N (Dex, PSE, Para + N: Doxy) Soft gels 24s",NZ,10.72,0.0,8100.0,9720.0,0.0,69465.6,83358.72,0.0,,,0.0,,,
12,12,G4 P&L - Yogi - AU NZ - CANZ - Inno (R&D).xlsm,Project Summary,2024,Yogi,G4,DURO-TUSS Relief Dry Lozenges 24_Australia,DURO-TUSS Relief Dry Lozenges 24,Australia,8.61,82896.0,167054.0,172065.62,444656.6308799999,896082.66762,922965.1476485998,0.0,,,0.0,,,105797
13,13,G4 P&L - Yogi - AU NZ - CANZ - Inno (R&D).xlsm,Project Summary,2024,Yogi,G4,Difflam Sore Throat + Cough + Sore Throat + Blocked Nose (Herbal) 16_Australia,Difflam Sore Throat + Cough + Sore Throat + Blocked Nose (Herbal) 16,Australia,7.12,157514.0,225210.0,208767.0,661684.8112,946062.168,876988.4136000001,0.0,,,0.0,,,105800
14,14,G4 P&L - Yogi - AU NZ - CANZ - Inno (R&D).xlsm,Project Summary,2024,Yogi,G4,Difflam Sore Throat + Cough + Sore Throat + Blocked Nose (Herbal) 32_Australia,Difflam Sore Throat + Cough + Sore Throat + Blocked Nose (Herbal) 32,Australia,12.56,155500.0,219140.0,200883.0,1152317.2000000002,1623915.056,1488623.3832,0.0,,,0.0,,,105839
15,15,G4 P&L - Yogi - AU NZ - CANZ - Inno (R&D).xlsm,Project Summary,2024,Yogi,G4,DURO-TUSS Relief Dry Lozenges 24_NZ,DURO-TUSS Relief Dry Lozenges 24,NZ,10.58,11391.0,13211.0,14532.0,94003.0884,109022.4564,119923.8768,0.0,,,0.0,,,105818
16,16,G4 P&L - Yogi - AU NZ - CANZ - Inno (R&D).xlsm,Project Summary,2024,Yogi,G4,Difflam Sore Throat + Cough + Sore Throat + Blocked Nose (Herbal) 16_NZ,Difflam Sore Throat + Cough + Sore Throat + Blocked Nose (Herbal) 16,NZ,4.47,26000.0,31200.0,35880.0,90651.6,108781.92,125099.20799999998,0.0,,,0.0,,,105820
17,17,G4 P&L - Yogi - AU NZ - CANZ - Inno (R&D).xlsm,Project Summary,2024,Yogi,G4,Difflam Sore Throat + Cough + Sore Throat + Blocked Nose (Herbal) 32_NZ,Difflam Sore Throat + Cough + Sore Throat + Blocked Nose (Herbal) 32,NZ,6.9,10000.0,15000.0,18750.0,53820.0,80730.0,100912.5,0.0,,,0.0,,,105841
18,18,G3 SC P&L - Scratchy - NZ - CANZ - Exp (M).xlsm,Project Summary,2024,Scratchy,G3,Demazin Herbal Kids x 2_NZ,Demazin Herbal Kids x 2,NZ,8.592811604915457,14300.0,16500.0,23100.0,95844.22064122702,110589.48535526192,154825.27949736672,0.0,,,0.0,,,
19,19,G3 SC P&L - Scratchy - NZ - CANZ - Exp (M).xlsm,Project Summary,2024,Scratchy,G3,Decon Nasal Spray 20 mL x 2_NZ,Decon Nasal Spray 20 mL x 2,NZ,5.728541069943638,0.0,0.0,20200.0,0.0,0.0,125197.81945856048,0.0,,,0.0,,,
20,20,G3 SC P&L - Scratchy - NZ - CANZ - Exp (M).xlsm,Project Summary,2024,Scratchy,G3,Allergy + Hayfever x 2  (10+30)_NZ,Allergy + Hayfever x 2  (10+30),NZ,7.946040838954079,0.0,0.0,25000.0,0.0,0.0,102697.95805229605,0.0,,,0.0,,,
21,21,G3 SC P&L - Scratchy - NZ - CANZ - Exp (M).xlsm,Project Summary,2024,Scratchy,G3,Cold + Flu Relief 24_NZ,Cold + Flu Relief 24,NZ,5.2665619513997965,0.0,0.0,7500.0,0.0,0.0,30809.38741568881,0.0,,,0.0,,,
22,22,G3 SC P&L - Scratchy - NZ - CANZ - Exp (M).xlsm,Project Summary,2024,Scratchy,G3,Cold + Flu Relief 48_NZ,Cold + Flu Relief 48,NZ,7.484061720410237,0.0,0.0,6900.0,0.0,0.0,40279.220179247895,0.0,,,0.0,,,
