,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025  SKU Launches,,,,,,,Total,,,,," 11,252,174 "," 9,392,180 "," 2,177,888 "," 20,489,960 ",," 10,489,960 ",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Name,Lifecycle,Region,Market Specific,No# of SKU's,SKU Name,SKU Code,SKU Launch Month,Category,Sub-Category,Brand,Project Type,"NET SALES
Budget
BP '25 ","NET SALES
YTD 
Oct25","NET SALES
Forecast
Nov-Dec 25","NET SALES
2025 Total
(YTD + Forecast)","Delta 
(2025 Total vs Budget)",Delta %,Included in FY'25 Budget,Launched,,,,,,,,,,
Cellophane,iGated,CANZ,ANZ,1,INVISZINC JUNIOR SPF50 60G,101643,Aug-25,DERM,Suncare,Invisible Zinc,Reno (F),185 k,103 k,39 k,142 k,"-43,103 ",-23%, Yes ,Yes,,,,,,,,,,
Cellophane,iGated,CANZ,ANZ,1,INVISZINC FACE & BODY SPF50 75G GR,103343,Aug-25,DERM,Suncare,Invisible Zinc,Reno (F),335 k,250 k,92 k,342 k," 6,718 ",2%, Yes ,Yes,,,,,,,,,,
Cellophane,iGated,CANZ,ANZ,1,INVISZINC FACE & BODY SPF50 150G GR,103344,Aug-25,DERM,Suncare,Invisible Zinc,Reno (F),336 k,235 k,97 k,332 k,"-4,335 ",-1%, Yes ,Yes,,,,,,,,,,
Shoebox (Lemon) MY,iGated,AMENA,MY,1,DIFFLAM LEMON LOZ 180S MY,104086,Jun-25,URT,Throat,Difflam,Reno (F),58 k,,,148 k," 90,327 ",157%, Yes ,Yes,,,,,,,,,,
Hexy PH,iGated,AMENA,PH,1,DIFFLAM HEXTRA PURPLEGRAPE LOZ 12 PH,104191,Apr-25,URT,Throat,Difflam,Exp (M),250 k,,,222 k,"-28,320 ",-11%, Yes ,Yes,,,,,,,,,,
Difflam AB HHR1,iGated,AMENA,TH,1,DIFFLAM HL PROPOLIS HHR LOZ 24X8 TH,104599,Jun-25,URT,Throat,Difflam,Exp ('C),347 k,,,775 k," 427,910 ",123%, Yes ,Yes,,,,,,,,,,
Difflam AB HHR1,iGated,AMENA,TH,1,DIFFLAM ORANGE+VIT C HHR LOZ 24X8 TH,104600,Jun-25,URT,Throat,Difflam,Exp ('C),233 k,,,703 k," 470,191 ",202%, Yes ,Yes,,,,,,,,,,
Lego TH,iGated,AMENA,TH,1,DIFFLAM 1.5MG CHILDREN SPRAY 30ML TH,104639,Aug-25,URT,Throat,Difflam,Exp (M),0 k,,,293 k," 292,517 ",N/A, No ,Yes,,,,,,,,,,
Chupa Chups,iGated,CANZ,NZ,1,Difflam Kids Pops Manuka 10s,104722,Jan-25,URT,Throat,Difflam,Inno (I-L),80 k,69 k,12 k,81 k," 1,477 ",2%, Yes ,Yes,,,,,,,,,,
Chupa Chups,iGated,CANZ,NZ,1,Difflam Kids Pops Strawberry 10s,104723,Jan-25,URT,Throat,Difflam,Inno (I-L),160 k,170 k,32 k,202 k," 42,450 ",27%, Yes ,Yes,,,,,,,,,,
Dexterity Short Term,iGated,CANZ,AU,1,DURO-TUSS DRY NIGHT TIME 200ML,104733,Jul-25,URT,Cough,Duro-Tuss,Inno (R&D),0 k,173 k,115 k,288 k," 287,697 ",N/A, No ,Yes,,,,,,,,,,
Dexterity Short Term,iGated,CANZ,AU,1,DURO-TUSS DRY COUGH LEMON LOZ 16,104740,Jul-25,URT,Cough,Duro-Tuss,Inno (R&D),0 k,142 k,58 k,200 k," 199,669 ",N/A, No ,Yes,,,,,,,,,,
Difflam AB HHR1,iGated,AMENA,TH,1,DIFFLAM WILD BERRY HHR LOZ 24X8 TH,104759,Jun-25,URT,Throat,Difflam,Exp ('C),147 k,,,334 k," 186,486 ",127%, Yes ,Yes,,,,,,,,,,
Rainbow TH 1,iGated,AMENA,TH,1,ACNE-AID NAT POLLUTION SERUM 30ML TH,104767,Dec-25,DERM,Therapeutic,Acne-Aid,Inno (R&D),0 k,0 k,0 k,0 k, -   ,N/A, No ,No,,,,,,,,,,
Rainbow TH 1,iGated,AMENA,TH,1,ACNE-AID NAT POLLUTION CLSER100ML TH,104768,Dec-25,DERM,Therapeutic,Acne-Aid,Inno (R&D),0 k,0 k,0 k,0 k, -   ,N/A, No ,No,,,,,,,,,,
Dexterity Short Term,iGated,CANZ,AU,1,DURO-TUSS DRY COUGH LEMON LOZ 32,105701,Jul-25,URT,Cough,Duro-Tuss,Inno (R&D),0 k,180 k,78 k,258 k," 257,598 ",N/A, No ,Yes,,,,,,,,,,
Glow,iGated,CANZ,ANZ,1,DERMAVEEN HYALURONIC ACID + PRO-VITAMIN B5 HYDRATING SERUM 30ML ,105733,Feb-25,DERM,Therapeutic,Dermaveen,Inno (I-L),339 k,315 k,111 k,426 k," 86,634 ",26%, Yes ,Yes,,,,,,,,,,
Glow,iGated,CANZ,ANZ,1,DERMAVEEN FACE VITAMIN C AND NIACINAMIDE BRIGHTENING SERUM 30ML,105734,Feb-25,DERM,Therapeutic,Dermaveen,Inno (I-L),267 k,268 k,92 k,360 k," 92,440 ",35%, Yes ,Yes,,,,,, -   ,,,,
Colossus (Phase 2),iGated,CANZ,AU,1,DEMAZIN ALLERGY + HAYFEVER TAB 110,105767,Jul-25,URT,Hayfever & Allergy,Demazin,Reno (P),"1,244 k","1,053 k",275 k,"1,328 k"," 83,534 ",7%, Yes ,Yes,,,,,,,,,,
Pooh Bear,iGated,CANZ,AU,1,DURO-TUSS HONEY DRY COUGH LIQ 200ML,105780,Feb-25,URT,Cough,Duro-Tuss,Inno (R&D),658 k,945 k,91 k,"1,036 k"," 378,666 ",58%, Yes ,Yes,,,,,,,,,,
Pooh Bear,iGated,CANZ,NZ,1,DURO-TUSS HONEY D COUGH LIQ 200ML NZ,105791,Feb-25,URT,Cough,Duro-Tuss,Inno (R&D),155 k,352 k,37 k,388 k," 233,424 ",151%, Yes ,Yes,,,,,,,,,,
Yogi,iGated,CANZ,AU,1,DURO-TUSS COUGH BV LOZ 24,105797,Mar-25,URT,Throat,Difflam,Inno (R&D),529 k,402 k,49 k,451 k,"-77,168 ",-15%, Yes ,Yes,,,,,,,,,,
Yogi,iGated,CANZ,AU,1,DIFFLAM RELIEF COUGH H&L LOZ 16,105800,Feb-25,URT,Throat,Difflam,Inno (I-L),626 k,997 k,122 k,"1,119 k"," 492,515 ",79%, Yes ,Yes,,,,,,,,,,
Pain,iGated,CANZ,AU,1,Norflex 100mg Tablet 30,105801,Jun-25,PAIN,Rx,Norflex,Reno (P),0 k,95 k,36 k,131 k," 131,143 ",N/A, No ,Yes,,,,,,,,,,
Leap Frog,iGated,AMENA,PH,1,DURO-TUSS LV 30MG/5ML SYRUP 120ML PH,105802,Jul-25,URT,Cough,Duro-Tuss,Inno (I-L),0 k,,,809 k," 809,215 ",N/A, No ,Yes,,,,,,,,,,
Hulk,iGated,CANZ,AU,1,DIFFLAM PLUS TRIPLE BC LOZ 32,105813,Jan-25,URT,Throat,Difflam,Reno (P),849 k,850 k,81 k,931 k," 82,618 ",10%, Yes ,Yes,,,,,,,,,,
Hulk,iGated,CANZ,AU,1,DIFFLAM DUAL STRAWBERRY LOZ 32,105814,Jan-25,URT,Throat,Difflam,Reno (P),420 k,331 k,23 k,354 k,"-66,380 ",-16%, Yes ,Yes,,,,,,,,,,
Yogi,iGated,CANZ,NZ,1,DURO-TUSS RELIEF DRY VC LOZ 24 NZ,105818,Mar-25,URT,Throat,Difflam,Inno (R&D),51 k,166 k,11 k,177 k," 126,316 ",248%, Yes ,Yes,,,,,,,,,,
Yogi,iGated,CANZ,NZ,1,DIFFLAM HERBAL HONEY LEMON LOZ 16 NZ,105820,Feb-25,URT,Throat,Difflam,Inno (I-L),176 k,61 k,17 k,78 k,"-97,636 ",-55%, Yes ,Yes,,,,,,,,,,
Bark ,iGated,AMENA,PH,1,DURO-TUSS BC DRY COUGH LIQ 60ML PH,105827,Jul-25,URT,Throat,Difflam,Inno (I-L),189 k,,,121 k,"-68,036 ",-36%, Yes ,Yes,,,,,,,,,,
Bark ,iGated,AMENA,PH,1,DURO-TUSS BC DRY COUGH TAB 100 PH,105828,Jul-25,URT,Throat,Difflam,Inno (I-L),730 k,,,789 k," 59,009 ",8%, Yes ,Yes,,,,,,,,,,
Bark ,iGated,AMENA,PH,1,DURO-TUSS AX CHESTY LIQ 60ML PH,105829,Jul-25,URT,Throat,Difflam,Inno (I-L),326 k,,,308 k,"-18,882 ",-6%, Yes ,Yes,,,,,,,,,,
Bark ,iGated,AMENA,PH,1,DURO-TUSS AX CHESTY COUGH CAP 100 PH,105830,Jul-25,URT,Throat,Difflam,Inno (I-L),730 k,,,"1,785 k"," 1,054,640 ",144%, Yes ,Yes,,,,,,,,,,
Yogi,iGated,CANZ,AU,1,DIFFLAM RELIEF COUGH HL LOZ 32,105839,Feb-25,URT,Throat,Difflam,Inno (I-L),"1,125 k",677 k,101 k,778 k,"-347,108 ",-31%, Yes ,Yes,,,,,,,,,,
Yogi,iGated,CANZ,NZ,1,DIFFLAM HERBAL HONEY LEMON LOZ 32 NZ,105841,Feb-25,URT,Throat,Difflam,Inno (I-L),0 k,52 k,7 k,58 k," 58,053 ",N/A, No ,Yes,,,,,,,,,,
Rainbow TH 1,iGated,AMENA,TH,1,ACNE-AID NAT ADULT CLEANSER 100ML TH,105842,Dec-25,DERM,Therapeutic,Acne-Aid,Inno (R&D),0 k,0 k,0 k,0 k, -   ,N/A, No ,No,,,,,,,,,,
Rainbow TH 1,iGated,AMENA,TH,1,ACNE-AID NAT ADULT MOISTURE 50ML TH,105843,Dec-25,DERM,Therapeutic,Acne-Aid,Inno (R&D),0 k,0 k,0 k,0 k, -   ,N/A, No ,No,,,,,,,,,,
Rainbow TH 1,iGated,AMENA,TH,1,ACNE-AID NAT ADULT SERUM 30ML TH,105844,Dec-25,DERM,Therapeutic,Acne-Aid,Inno (R&D),0 k,0 k,0 k,0 k, -   ,N/A, No ,No,,,,,,,,,,
Hulk,iGated,CANZ,NZ,1,DIFFLAM PLUS ANAES BC LOZ 32 NZ,105845,May-25,URT,Throat,Difflam,Reno (P),0 k,37 k,6 k,43 k," 43,399 ",N/A, No ,Yes,,,,,,,,,,
Herbie,iGated,CANZ,AU,1,Nyal 3-in-1 Cough Relief 240ml,105891,Feb-25,URT,Cold & Flu,Demazin / Nyal,Reno (F),0 k,451 k,67 k,517 k," 517,434 ",N/A, No ,Yes,,,,,,,,,,
Stretch MY,iGated,AMENA,MY,1,Duro-Tuss AX Chesty Cough Liquid 120ml,105894,Sep-25,URT,Cold & Flu,Ambroxol,Inno (I-L),0 k,,,41 k," 40,772 ",N/A, No ,Yes,,,,,,,,,,
Rusty - Wound,iGated,CANZ,AU,1,BETADINE ANTISEP TOPICAL SOL 500ML,105904,Jul-25,WOUND,Clean & Protect,Betadine,Exp (M),0 k,292 k,43 k,334 k," 334,494 ",N/A, No ,Yes,,,,,,,,,,
Rusty - URT,iGated,CANZ,AU,1,BETADINE RTU THROAT GARGLE 200ML,105905,Aug-25,WOUND,Clean & Protect,Betadine,Exp (M),0 k,279 k,93 k,371 k," 371,323 ",N/A, No ,Yes,,,,,,,,,,
Rusty - Wound,iGated,CANZ,AU,1,BETADINE ANTISEP FIRST AID CREAM 45G,105907,Aug-25,WOUND,Clean & Protect,Betadine,Exp (M),0 k,174 k,63 k,237 k," 237,194 ",N/A, No ,Yes,,,,,,,,,,
Cosmos,iGated,CANZ,AU,1,RETRIEVE ONE 1% RETINOL SERUM 30ML,105928,Jul-25,DERM,Therapeutic,Retrieve,Inno (I-L),0 k,2 k,0 k,2 k," 2,180 ",N/A, No ,Yes,,,,,,,,,,
Clear ID,iGated,AMENA,ID,1,BETADINE CLEAR ANTISEP SPRAY 30ML ID,105935,Nov-25,Wound,Clean & Protect,Betadine,Inno (I-L),0 k,0 k,0 k,0 k, -   ,N/A, No ,No,,,,,,,,,,
Clear ID,iGated,AMENA,ID,1,BETADINE CLEAR ANTISEP GEL 10ML ID,105936,Nov-25,Wound,Clean & Protect,Betadine,Inno (I-L),0 k,0 k,0 k,0 k, -   ,N/A, No ,No,,,,,,,,,,
Yogi,iGated,AMENA,SG,1,DIFFLAM ELDERBERRY M BERRY DROP 8 SG,105937,Aug-25,URT,Throat,Difflam,Inno (R&D),0 k,,,33 k," 33,433 ",N/A, No ,Yes,,,,,,,,,,
Yogi,iGated,AMENA,SG,1,DIFFLAM ELDERBERRY M BERRY DROP18 SG,105938,Aug-25,URT,Throat,Difflam,Inno (R&D),0 k,,,57 k," 57,055 ",N/A, No ,Yes,,,,,,,,,,
Yogi,iGated,AMENA,SG,1,DIFFLAM MANUKA HONEY DROP 8 SG,105939,Aug-25,URT,Throat,Difflam,Inno (R&D),0 k,,,33 k," 33,433 ",N/A, No ,Yes,,,,,,,,,,
Yogi,iGated,AMENA,SG,1,DIFFLAM MANUKA HONEY DROP 18 SG,105940,Aug-25,URT,Throat,Difflam,Inno (R&D),0 k,,,56 k," 56,294 ",N/A, No ,Yes,,,,,,,,,,
Rise and Shine,iGated,RSA,RSA,1,FLUGON COLD&FLU FIGHTER DN TAB 24 SA,105945,May-25,URT,Cold & Flu,Flugon,Exp (M),0 k,,,65 k," 64,987 ",N/A, No ,Yes,,,,,,,,,,
Leafs,iGated,CANZ,CA,1,SENOKOT LAXATIVE GUMMIES 60S CA,105964,Jul-25,Other,Other,Senokot,Inno (R&D),0 k,272 k,332 k,604 k," 604,051 ",N/A, No ,Yes,,,,,,,,,,
Baby Bump,iGated,RSA,RSA,1,PREGOMEGA PLATINUM TAB 30 SA,105965,Jun-25,Other,Other,Pregomega Plus,Reno (F),0 k,,,459 k," 458,935 ",N/A, No ,Yes,,,,,,,,,,
Itch,iGated,RSA,RSA,1,DEMAZIN ITCH 25G,105966,Jul-25,DERM,Hayfever & Allergy,Demazin,Exp (B),0 k,,,82 k," 81,922 ",N/A, No ,Yes,,,,,,,,,,
Renovate JP,iGated,AMENA,JP,1,ISODINE CLEAR GARGLE APPLE 400ML JP,105972,Aug-25,URT,Throat,Isodine,Reno (P),353 k,,,817 k," 463,487 ",131%, Yes ,Yes,,,,,,,,,,
Renovate JP,iGated,AMENA,JP,1,ISODINE CLEAR GARGLE MINT 400ML JP,105973,Aug-25,URT,Throat,Isodine,Reno (P),353 k,,,898 k," 544,416 ",154%, Yes ,Yes,,,,,,,,,,
Harlequin 2.0,iGated,RSA,RSA,1,DEMAZIN FLU EFF 24’S,106056,Nov-25,URT,Cold & Flu,Demazin,Exp (B),0 k,,,93 k," 92,698 ",N/A, No ,No,,,,,,,,,,
Ferrous Wheel,iGated,RSA,RSA,1,FERROUS FORTE SOMAL CAPS 30,106060,Nov-25,Other,VMS,Ferrous Forte,Inno (R&D),0 k,0 k,0 k,0 k, -   ,N/A, No ,No,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
