,2024,2024,2024-01,2024-01,2024-02,2024-02,2024-03,2024-03,2024-04,2024-04,2024-05,2024-05,2024-06,2024-06,2024-07,2024-07,2024-08,2024-08,2024-09,2024-09,2024-10,2024-10,2024-11,2024-11,2024-12,2024-12,2025,2025,2025-01,2025-01,2025-02,2025-02,2025-03,2025-03,2025-04,2025-04,2025-05,2025-05,2025-06,2025-06,2025-07,2025-07,2025-08,2025-08,2025-09,2025-09,2025-10,2025-10,2025-11,2025-11,2025-12,2025-12,2026,2026,2026-01,2026-01,2026-02,2026-02,2026-03,2026-03
,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity,Net Sales,Quantity
104722 - DIFFLAM KIDS POPS MANUKA 10S,"475,891","81,900",0,0,"84,677","14,596","54,044","9,692",119,"1,780","116,702","20,096","59,861","10,356","62,193","9,888","28,037","4,152","14,205","2,456","17,400","2,720","23,468","3,772","15,185","2,392","356,106","68,293","15,021","2,984","52,597","9,414","53,600","11,432","44,779","8,660","27,803","5,380","36,071","7,124","29,303","5,408","43,093","7,646","19,363","3,713","16,399","3,024","6,982","1,548","11,097","1,960","94,966","18,017","11,562","2,233","49,020","9,000","34,384","6,784"
104723 - DIFFLAM KIDS POPS STRAWBERRY 10S,"865,307","142,222",0,0,"82,188","14,188","59,597","10,869","136,811","23,165","65,374","11,719","112,155","19,492","136,304","20,645","97,004","14,826","41,503","6,338","46,460","7,113","61,017","9,435","26,893","4,432","856,579","159,288","38,722","5,921","82,231","14,617","101,297","20,354","106,905","20,548","66,554","13,056","73,087","14,416","110,867","19,452","96,083","16,702","23,890","5,368","88,693","16,068","36,880","7,240","31,370","5,546","137,716","26,474","26,161","5,102","81,952","15,217","29,603","6,155"
105813 - DIFFLAM PLUS TRIPLE BC LOZ 32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"918,161","94,431",0,0,"105,691","10,735","102,552","8,125","146,951","15,470","67,773","6,280","177,029","18,766","93,673","9,705","72,378","8,115","35,614","4,375","48,577","5,260","27,175","3,150","40,750","4,450","181,481","20,825","31,201","3,635","37,226","4,335","113,053","12,855"
105814 - DIFFLAM DUAL STRAWBERRY LOZ 32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"372,982","52,422",0,0,"78,590","11,610","68,136","7,675","36,625","5,085","47,567","5,710","32,875","6,432","26,714","3,620","15,210","2,050","12,524","2,015","12,474","1,880","22,255","3,450","20,011","2,895","92,330","14,610","14,568","2,375","37,415","5,700","40,347","6,535"
105733 - DV HA PRO VIT B5 HYDRATE SERUM 30ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"307,197","24,740",0,0,0,0,"91,982","6,060","29,086","2,818","-2,023",662,"35,059","2,193","5,968",656,"24,807","1,722","38,973","2,880","91,351","6,248","-9,765",762,"1,760",739,"37,618","3,682","2,793",341,"10,380","1,121","24,446","2,220"
105734 - DV VIT C NIACIN BRIGHTEN SERUM 30ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"288,892","23,099",0,0,0,0,"61,727","4,080","39,933","3,270","-1,211",542,"4,597",590,"29,605","1,890","31,523","2,498","29,674","2,564","72,122","4,968","12,969","1,825","7,953",872,"52,917","5,391","8,069",920,"14,265","1,726","30,584","2,745"
105780 - DURO-TUSS HONEY DRY COUGH LIQ 200ML,-1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,24,"1,010,044","103,064","28,143","1,959","55,449","5,985","148,335","12,300","85,228","8,844","132,976","12,957","201,854","22,440","108,543","12,410","83,133","7,653","47,871","5,106","53,959","5,805","26,816","3,408","37,735","4,197","193,163","20,184","63,479","6,528","70,022","7,317","59,662","6,339"
105791 - DURO-TUSS HERB DRY HONEY LIQ200ML NZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"358,825","32,935",0,0,"45,982","4,217","29,717","2,460","16,841","2,190","35,423","2,392","50,321","4,380","64,817","6,327","36,970","3,183","51,799","4,469","24,703","3,317",-501,0,"2,753",0,"99,597","8,511","47,398","4,180","34,978","3,152","17,221","1,179"
105800 - DIFFLAM SOOTHING COUGH HL LOZ 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,203,242","289,194",0,0,"70,913","13,866","88,429","19,506","94,292","21,882","116,368","29,460","184,661","44,166","92,708","21,516","125,119","29,028","109,531","27,252","114,484","29,430","138,017","32,370","68,718","20,718","319,556","90,128","105,013","28,266","82,647","23,358","131,897","38,504"
105839 - DIFFLAM SOOTHING COUGH HL LOZ 32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"763,184","94,162",0,0,"120,185","13,420","103,160","12,305","86,133","10,580","87,696","10,840","107,953","14,732","51,911","5,910","60,096","7,080","29,039","3,965","31,079","4,080","51,242","6,600","34,690","4,650","194,963","27,180","36,710","5,330","69,841","9,220","88,412","12,630"
105820 - DIFFLAM HERBAL HONEY LEMON LOZ 16 NZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"68,354","11,796",0,0,"4,728",751,"8,469","1,362","9,524","1,614","5,144",887,"8,627","1,614","8,767","1,548","4,234",678,"7,730","1,332","5,086",978,"4,978",864,"1,066",168,"16,568","2,916","1,496",228,"5,877","1,080","9,195","1,608"
105841 - DIFFLAM HERBAL HONEY LEMON LOZ 32 NZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"53,484","6,234",0,0,"5,164",559,"8,758",963,"13,266","1,525","3,245",376,"8,919","1,095","4,844",620,445,31,"4,745",549,"2,865",370,930,110,301,36,"4,547",500,"1,168",135,"1,087",120,"2,292",245
105891 - NYAL 3-IN-1 COUGH RELIEF LIQ 240ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"540,047","89,808",0,0,0,0,"32,481","5,280","62,280","9,384","38,647","10,560","92,204","13,824","74,128","12,984","61,694","10,800","65,453","10,080","24,027","3,720","54,980","8,040","34,153","5,136","103,516","19,680","29,406","5,400","33,231","6,120","40,880","8,160"
105797 - DURO-TUSS RELIEF DRY COUGH BV LOZ 24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"431,380","75,528",0,0,0,0,"69,836","12,180","39,309","5,664","82,569","12,792","88,110","16,320","54,731","8,984","23,409","3,756","19,494","3,792","24,941","5,016","19,301","4,768","9,681","2,256","124,573","21,832","29,488","6,024","71,075","11,220","24,010","4,588"
105818 - DURO-TUSS HERBAL DRY BV LOZ 24 NZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"190,847","21,477",0,0,0,0,"38,022","4,312","-1,055",2,"46,029","5,008","18,213","2,059","-7,172","2,568","42,067","1,722","15,585","1,798","16,843","1,960","10,521","1,200","11,794",848,"29,184","3,112","2,950",324,"7,634",800,"18,600","1,988"
104191 - DIFFLAM HEXTRA PURPLEGRAPE LOZ 12 PH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"296,915","74,760",0,0,0,0,"142,916","36,000",0,0,"90,990","22,920","20,008","5,040",0,0,"43,000","10,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105845 - DIFFLAM PLUS ANAES BC LOZ 32 NZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39,818","3,497",0,0,0,0,-14,0,"31,262","2,690","1,774",180,-662,0,"1,289",115,"1,127",95,"1,659",140,"1,092",102,546,40,"1,745",135,"2,311",180,683,50,900,70,729,60
105945 - FLUGON COLD&FLU D/N SUPPORT TAB24 SA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"76,803","13,581",0,0,0,0,0,0,0,0,"27,936","4,356","21,426","4,081","3,124",928,"3,482","1,002","6,266","1,166","4,778",723,"2,630",557,"7,160",768,"12,304","2,313","3,769",871,"8,535","1,442",0,0
105801 - NORFLEX 100MG TABLET 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"96,600","6,440",0,0,0,0,0,0,0,0,0,0,"9,000",600,"79,200","5,280","6,150",410,225,15,150,10,525,35,"1,350",90,"21,300","1,420","3,825",255,"7,800",520,"9,675",645
105965 - PREGOMEGA PLATINUM TAB 30 SA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"199,709","10,822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103,995","5,621","45,375","2,451","9,310",522,"4,782",271,"36,246","1,957","81,976","5,253","32,573","2,400","49,404","2,853",0,0
104599 - DIFFLAM HL PROPOLIS HHR LOZ 24X8 TH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,182,399","42,517",0,0,0,0,0,0,0,0,"318,230","11,443","352,047","12,659",0,0,"320,371","11,520",-362,-13,"192,195","6,911",0,0,-83,-3,"159,018","5,718",-834,-30,"159,852","5,748",0,0
104600 - DIFFLAM ORANGE+VIT C HHR LOZ 24X8 TH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,089,013","39,159",0,0,0,0,0,0,0,0,"277,627","9,983","362,671","13,041",0,0,"309,025","11,112",-362,-13,"140,135","5,039",0,0,-83,-3,"82,929","2,982",-834,-30,-334,-12,"84,098","3,024"
104759 - DIFFLAM WILD BERRY HHR LOZ 24X8 TH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"606,147","21,796",0,0,0,0,0,0,0,0,0,0,"606,704","21,816",0,0,0,0,-362,-13,-111,-4,0,0,-83,-3,"62,906","2,262",-834,-30,-334,-12,"64,074","2,304"
104086 - DIFFLAM LEMON LOZ 180S MY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"278,154","2,992",0,0,0,0,0,0,0,0,"113,047","1,216","63,960",688,"29,749",320,0,0,0,0,"23,799",256,"29,749",320,"17,849",192,"80,322",864,"17,850",192,"17,849",192,"44,623",480
105830 - DURO-TUSS AX CHESTY COUGH CAP 100 PH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,351,501","26,095",0,0,0,0,0,0,0,0,0,0,"785,966","8,722",0,0,0,0,"1,301,954","14,448",0,0,"263,581","2,925",0,0,0,0,0,0,0,0,0,0
105829 - DURO-TUSS AX CHESTY LIQ 60ML PH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"479,914","119,828",0,0,0,0,0,0,0,0,0,0,"119,959","29,952",0,0,"60,043","14,992","179,858","44,908",0,0,"59,979","14,976","60,075","15,000",0,0,0,0,0,0,0,0
105828 - DURO-TUSS BC DRY COUGH TAB 100 PH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,037,903","25,915",0,0,0,0,0,0,"346,795","8,659",0,0,0,0,0,0,0,0,"576,323","14,390",0,0,"114,784","2,866",0,0,0,0,0,0,0,0,0,0
105827 - DURO-TUSS BC DRY COUGH LIQ 60ML PH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"188,164","59,848",0,0,0,0,0,0,0,0,0,0,"47,003","14,950",0,0,"47,085","14,976","47,025","14,957",0,0,"47,050","14,965",0,0,0,0,0,0,0,0,0,0
104733 - DURO-TUSS DRY NIGHT TIME LIQ 200ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"184,715","16,811",0,0,0,0,0,0,0,0,0,0,0,0,"81,204","8,021","24,614","1,956","47,864","3,753","19,381","1,599","7,547","1,056","4,105",426,"101,878","10,314","13,507","1,305","21,566","2,160","66,805","6,849"
